Step,simulated_time_s,replications,residual_deficit_mean,residual_deficit_std,normalized_deficit_mean,normalized_deficit_std,capacity_adjusted_coverage_mean,capacity_adjusted_coverage_std,normalized_unavoidable_deficit_mean,normalized_unavoidable_deficit_std,r_delta_mean,r_delta_std,covered_points_mean,covered_points_std,underserved_points_mean,underserved_points_std,exactly_satisfied_points_mean,exactly_satisfied_points_std,overserved_points_mean,overserved_points_std,idle_drones_mean,idle_drones_std,exploring_drones_mean,exploring_drones_std,stationing_drones_mean,stationing_drones_std,active_points_mean,active_points_std,total_demand_mean,total_demand_std,mean_demand_per_point_mean,mean_demand_per_point_std,fleet_load_mean,fleet_load_std,overlapping_zones_mean,overlapping_zones_std
45.0,45.0,100,15.25,2.3022825739915267,0.7625,0.11511412869957634,0.2375,0.11511412869957631,0.0,0.0,0.0055000000000000005,0.017254775360093004,2.61,1.2940813207238815,7.86,1.1011472437985994,2.06,1.144331660618961,0.08,0.2726599243442907,15.35,2.0615528128088303,13.61,2.5815780938304873,4.65,2.06155281280883,10.0,0.0,20.0,0.0,2.0,0.0,1.0,0.0,3.13,1.5219272736443836
46.0,46.0,100,15.14,2.274229806356695,0.757,0.11371149031783484,0.243,0.11371149031783476,0.0,0.0,0.0055000000000000005,0.01866098398349678,2.69,1.268857754044952,7.83,1.1106008929558553,2.07,1.1304330090185741,0.1,0.33333333333333337,15.25,2.071329051697012,13.52,2.4678948621254206,4.75,2.0713290516970115,10.0,0.0,20.0,0.0,2.0,0.0,1.0,0.0,3.13,1.5219272736443836
47.0,47.0,100,14.99,2.307191217288093,0.7495,0.11535956086440466,0.2505,0.11535956086440466,0.0,0.0,0.007500000000000002,0.019299604852813637,2.78,1.3148721948877347,7.77,1.0996326291957323,2.16,1.1256423530903177,0.07,0.25643239997624284,15.11,2.112468994452996,13.5,2.4515507357795006,4.89,2.1124689944529957,10.0,0.0,20.0,0.0,2.0,0.0,1.0,0.0,3.13,1.5219272736443836
48.0,48.0,100,14.87,2.40225062822514,0.7434999999999999,0.12011253141125701,0.2565,0.12011253141125702,0.0,0.0,0.0059999999999999975,0.022785783269221153,2.82,1.366112230478384,7.69,1.1343578257180038,2.21,1.1485168301295845,0.1,0.30151134457776363,14.97,2.1902216114061854,13.45,2.4261829354695488,5.03,2.1902216114061854,10.0,0.0,20.0,0.0,2.0,0.0,1.0,0.0,3.13,1.5219272736443836
49.0,49.0,100,14.8,2.4329389468689753,0.74,0.12164694734344877,0.26,0.12164694734344875,0.0,0.0,0.0034999999999999996,0.01282161999881214,2.87,1.382831234179436,7.67,1.1464041278024184,2.22,1.1422112171776568,0.11,0.3144660377352202,14.94,2.214826075667014,13.48,2.3973048840459787,5.06,2.214826075667014,10.0,0.0,20.0,0.0,2.0,0.0,1.0,0.0,3.13,1.5219272736443836
50.0,50.0,100,14.66,2.404625172916191,0.733,0.12023125864580961,0.267,0.12023125864580958,0.0,0.0,0.006999999999999999,0.021343747458109498,2.99,1.374331793559284,7.65,1.1492202011394819,2.29,1.1396880664852507,0.06,0.23868325657594203,14.87,2.172625837622077,13.41,2.4416214185485745,5.13,2.172625837622076,10.0,0.0,20.0,0.0,2.0,0.0,1.0,0.0,3.13,1.5219272736443836
51.0,51.0,100,14.57,2.483297742270885,0.7284999999999999,0.12416488711354429,0.27149999999999996,0.12416488711354427,0.0,0.0,0.0045000000000000005,0.014381174563233068,3.03,1.4103155317126372,7.6,1.1891767800211264,2.37,1.1862426889855706,0.03,0.1714466079977653,14.81,2.227899314047956,13.37,2.452189291884361,5.19,2.227899314047956,10.0,0.0,20.0,0.0,2.0,0.0,1.0,0.0,3.13,1.5219272736443836
52.0,52.0,100,14.47,2.4595926409867057,0.7234999999999999,0.12297963204933532,0.27649999999999997,0.12297963204933533,0.0,0.0,0.005000000000000001,0.015075567228888184,3.11,1.3699148392023013,7.58,1.1991579537241115,2.38,1.170167906453142,0.04,0.19694638556693242,14.69,2.268337174088882,13.25,2.512091968978457,5.31,2.2683371740888814,10.0,0.0,20.0,0.0,2.0,0.0,1.0,0.0,3.13,1.5219272736443836
53.0,53.0,100,14.3,2.3931721056523974,0.715,0.11965860528261985,0.285,0.11965860528261983,0.0,0.0,0.0085,0.021385117075275326,3.21,1.3203534880225576,7.51,1.1848794849854534,2.46,1.1583687589961071,0.03,0.17144660799776532,14.54,2.1761795826074595,13.17,2.5188381159863082,5.46,2.176179582607459,10.0,0.0,20.0,0.0,2.0,0.0,1.0,0.0,3.13,1.5219272736443836
54.0,54.0,100,14.16,2.3941004932369006,0.708,0.11970502466184507,0.292,0.11970502466184503,0.0,0.0,0.007000000000000003,0.018829377433825442,3.26,1.307476557914118,7.42,1.1991579537241113,2.52,1.176194857765644,0.06,0.23868325657594203,14.35,2.194460426997162,13.11,2.5061338892220166,5.65,2.194460426997162,10.0,0.0,20.0,0.0,2.0,0.0,1.0,0.0,3.13,1.5219272736443836
55.0,55.0,100,14.0,2.416274785363585,0.7,0.12081373926817925,0.3,0.12081373926817923,0.0,0.0,0.007999999999999997,0.018422647458873526,3.34,1.3197795959243275,7.34,1.1994948431685228,2.6,1.214391812697811,0.06,0.2777979790634143,14.2,2.1927336381970357,12.94,2.436341022056965,5.8,2.1927336381970353,10.0,0.0,20.0,0.0,2.0,0.0,1.0,0.0,3.13,1.5219272736443836
