RunId,drone_type,seed,J_delta,final_time_s,final_residual_deficit,final_normalized_deficit,time_to_90_percent_nominal_service_s,event_episodes,event_episodes_reaching_90_percent_nominal_service,mean_time_to_90_percent_nominal_service_after_event_s
157,fixed_wing,78,0.5203333333333333,600.0,6.0,0.3,,0,0,
158,quadcopter,79,0.24550000000000002,600.0,0.0,0.0,320.0,0,0,
159,fixed_wing,79,0.48508333333333337,600.0,7.0,0.35,,0,0,
160,quadcopter,80,0.25725,600.0,1.0,0.05,365.0,0,0,
161,fixed_wing,80,0.5489166666666667,600.0,13.0,0.65,,0,0,
162,quadcopter,81,0.27825,600.0,2.0,0.1,325.0,0,0,
163,fixed_wing,81,0.49399999999999994,600.0,10.0,0.5,,0,0,
164,quadcopter,82,0.29625,600.0,2.0,0.1,378.0,0,0,
165,fixed_wing,82,0.60675,600.0,10.0,0.5,,0,0,
166,quadcopter,83,0.3375,600.0,2.0,0.1,578.0,0,0,
167,fixed_wing,83,0.5059166666666667,600.0,6.0,0.3,,0,0,
168,quadcopter,84,0.28125,600.0,0.0,0.0,320.0,0,0,
169,fixed_wing,84,0.4394166666666666,600.0,8.0,0.4,255.0,0,0,
170,quadcopter,85,0.163,600.0,0.0,0.0,227.0,0,0,
171,fixed_wing,85,0.48991666666666667,600.0,8.0,0.4,,0,0,
172,quadcopter,86,0.29925,600.0,2.0,0.1,454.0,0,0,
173,fixed_wing,86,0.55575,600.0,9.0,0.45,,0,0,
174,quadcopter,87,0.38975,600.0,4.0,0.2,,0,0,
175,fixed_wing,87,0.4685833333333333,600.0,12.0,0.6,,0,0,
176,quadcopter,88,0.3089166666666667,600.0,2.0,0.1,414.0,0,0,
177,fixed_wing,88,0.47550000000000003,600.0,7.0,0.35,550.0,0,0,
178,quadcopter,89,0.3031666666666667,600.0,2.0,0.1,384.0,0,0,
179,fixed_wing,89,0.49008333333333337,600.0,9.0,0.45,,0,0,
180,quadcopter,90,0.3384166666666667,600.0,2.0,0.1,589.0,0,0,
181,fixed_wing,90,0.5071666666666667,600.0,5.0,0.25,,0,0,
182,quadcopter,91,0.28941666666666666,600.0,0.0,0.0,386.0,0,0,
183,fixed_wing,91,0.579,600.0,12.0,0.6,,0,0,
184,quadcopter,92,0.255,600.0,0.0,0.0,302.0,0,0,
185,fixed_wing,92,0.518,600.0,13.0,0.65,,0,0,
186,quadcopter,93,0.31666666666666665,600.0,1.0,0.05,492.0,0,0,
187,fixed_wing,93,0.58925,600.0,10.0,0.5,,0,0,
188,quadcopter,94,0.2846666666666667,600.0,1.0,0.05,475.0,0,0,
189,fixed_wing,94,0.4910833333333333,600.0,9.0,0.45,,0,0,
190,quadcopter,95,0.27291666666666664,600.0,1.0,0.05,346.0,0,0,
191,fixed_wing,95,0.44666666666666666,600.0,7.0,0.35,,0,0,
192,quadcopter,96,0.26883333333333337,600.0,2.0,0.1,271.0,0,0,
193,fixed_wing,96,0.4751666666666667,600.0,7.0,0.35,,0,0,
194,quadcopter,97,0.15958333333333333,600.0,0.0,0.0,168.0,0,0,
195,fixed_wing,97,0.5348333333333333,600.0,7.0,0.35,,0,0,
196,quadcopter,98,0.15575,600.0,0.0,0.0,171.0,0,0,
197,fixed_wing,98,0.5414166666666667,600.0,10.0,0.5,,0,0,
198,quadcopter,99,0.26891666666666664,600.0,0.0,0.0,298.0,0,0,
199,fixed_wing,99,0.5780833333333334,600.0,11.0,0.55,,0,0,
