RunId,priority_range_width,seed,J_delta,final_time_s,final_residual_deficit,final_normalized_deficit,time_to_90_percent_nominal_service_s,event_episodes,event_episodes_reaching_90_percent_nominal_service,mean_time_to_90_percent_nominal_service_after_event_s
149,2,48,0.3048245614035087,600.0,2.0,0.1052631578947368,,0,0,
150,2,55,0.36043859649122806,600.0,2.0,0.1052631578947368,,0,0,
151,2,42,0.35087301587301584,600.0,2.0,0.0952380952380952,543.0,0,0,
152,2,44,0.3476984126984126,600.0,5.0,0.238095238095238,,0,0,
153,2,50,0.2708730158730158,600.0,3.0,0.1428571428571428,278.0,0,0,
154,2,57,0.2531481481481481,600.0,2.0,0.1111111111111111,,0,0,
155,2,56,0.3245098039215686,600.0,2.0,0.1176470588235294,,0,0,
156,2,53,0.24999999999999994,600.0,0.0,0.0,422.0,0,0,
157,2,59,0.23780303030303027,600.0,3.0,0.1363636363636363,237.0,0,0,
158,2,54,0.36050000000000004,600.0,4.0,0.2,,0,0,
159,2,61,0.33893939393939393,600.0,2.0,0.0909090909090909,280.0,0,0,
160,2,62,0.2836111111111111,600.0,0.0,0.0,445.0,0,0,
161,2,60,0.30206349206349203,600.0,2.0,0.0952380952380952,345.0,0,0,
162,2,58,0.3155833333333333,600.0,3.0,0.15,,0,0,
163,2,64,0.33849206349206346,600.0,2.0,0.0952380952380952,369.0,0,0,
164,2,63,0.245,600.0,2.0,0.1111111111111111,,0,0,
165,2,66,0.22358333333333336,600.0,0.0,0.0,439.0,0,0,
166,2,71,0.25517543859649117,600.0,2.0,0.1052631578947368,,0,0,
167,2,70,0.21780701754385964,600.0,1.0,0.0526315789473684,386.0,0,0,
168,2,65,0.3479411764705882,600.0,1.0,0.0588235294117647,600.0,0,0,
169,2,67,0.3147368421052631,600.0,1.0,0.0526315789473684,579.0,0,0,
170,2,73,0.2909803921568627,600.0,1.0,0.0588235294117647,484.0,0,0,
171,2,68,0.2694117647058823,600.0,0.0,0.0,428.0,0,0,
172,2,75,0.28325,600.0,1.0,0.05,276.0,0,0,
173,2,76,0.31166666666666665,600.0,3.0,0.1666666666666666,,0,0,
174,2,79,0.3387301587301587,600.0,3.0,0.1428571428571428,448.0,0,0,
175,2,72,0.39141666666666663,600.0,4.0,0.2,,0,0,
176,2,69,0.3545,600.0,3.0,0.15,,0,0,
177,2,80,0.32666666666666666,600.0,3.0,0.1666666666666666,,0,0,
178,2,74,0.4176086956521739,600.0,6.0,0.2608695652173913,,0,0,
179,2,81,0.36877192982456136,600.0,1.0,0.0526315789473684,525.0,0,0,
180,2,77,0.37909722222222225,600.0,6.0,0.25,367.0,0,0,
181,2,78,0.35378787878787876,600.0,5.0,0.2272727272727272,,0,0,
182,2,83,0.2792063492063491,600.0,1.0,0.0476190476190476,306.0,0,0,
183,2,82,0.2953787878787878,600.0,3.0,0.1363636363636363,239.0,0,0,
