RunId,n_points,seed,J_delta,final_time_s,final_residual_deficit,final_normalized_deficit,time_to_90_percent_nominal_service_s,event_episodes,event_episodes_reaching_90_percent_nominal_service,mean_time_to_90_percent_nominal_service_after_event_s
165,5,33,0.14533333333333334,600.0,0.0,0.0,149.0,0,0,
166,10,33,0.13791666666666666,600.0,0.0,0.0,154.0,0,0,
167,20,33,0.2828333333333333,600.0,0.0,0.0,384.0,0,0,
168,30,33,0.41488888888888886,600.0,10.0,0.1666666666666666,214.0,0,0,
169,40,33,0.479375,600.0,27.0,0.3375,133.0,0,0,
170,5,34,0.11299999999999999,600.0,0.0,0.0,134.0,0,0,
171,10,34,0.17041666666666666,600.0,0.0,0.0,201.0,0,0,
172,20,34,0.251625,600.0,1.0,0.025,356.0,0,0,
173,30,34,0.39502777777777776,600.0,11.0,0.1833333333333333,240.0,0,0,
174,40,34,0.513125,600.0,33.0,0.4125,161.0,0,0,
175,5,35,0.20733333333333334,600.0,0.0,0.0,328.0,0,0,
176,10,35,0.15408333333333335,600.0,0.0,0.0,150.0,0,0,
177,20,35,0.23891666666666667,600.0,1.0,0.025,295.0,0,0,
178,30,35,0.3633611111111111,600.0,12.0,0.2,157.0,0,0,
179,40,35,0.4664166666666667,600.0,27.0,0.3375,101.0,0,0,
180,5,36,0.11233333333333334,600.0,0.0,0.0,114.0,0,0,
181,10,36,0.14383333333333334,600.0,0.0,0.0,170.0,0,0,
182,20,36,0.27208333333333334,600.0,1.0,0.025,401.0,0,0,
183,30,36,0.33202777777777776,600.0,7.0,0.1166666666666666,156.0,0,0,
184,40,36,0.47210416666666666,600.0,25.0,0.3125,116.0,0,0,
185,5,37,0.10200000000000001,600.0,0.0,0.0,120.0,0,0,
186,10,37,0.10933333333333335,600.0,0.0,0.0,121.0,0,0,
187,20,37,0.2568333333333333,600.0,0.0,0.0,360.0,0,0,
188,30,37,0.3748611111111111,600.0,11.0,0.1833333333333333,178.0,0,0,
189,40,37,0.517375,600.0,29.0,0.3625,192.0,0,0,
190,5,38,0.151,600.0,0.0,0.0,120.0,0,0,
191,10,38,0.128,600.0,0.0,0.0,129.0,0,0,
192,20,38,0.22666666666666666,600.0,0.0,0.0,272.0,0,0,
193,30,38,0.44030555555555556,600.0,15.0,0.25,238.0,0,0,
194,40,38,0.4771875,600.0,28.0,0.35,142.0,0,0,
195,5,39,0.12349999999999998,600.0,0.0,0.0,177.0,0,0,
196,10,39,0.14516666666666667,600.0,0.0,0.0,186.0,0,0,
197,20,39,0.22720833333333332,600.0,0.0,0.0,278.0,0,0,
198,30,39,0.38455555555555554,600.0,12.0,0.2,226.0,0,0,
199,40,39,0.48341666666666666,600.0,28.0,0.35,157.0,0,0,
200,5,40,0.16916666666666666,600.0,0.0,0.0,176.0,0,0,
201,10,40,0.1681666666666667,600.0,0.0,0.0,161.0,0,0,
202,20,40,0.266375,600.0,2.0,0.05,387.0,0,0,
203,30,40,0.3987222222222222,600.0,13.0,0.2166666666666666,196.0,0,0,
204,40,40,0.4905,600.0,25.0,0.3125,161.0,0,0,
205,5,41,0.12533333333333332,600.0,0.0,0.0,117.0,0,0,
206,10,41,0.15658333333333332,600.0,0.0,0.0,150.0,0,0,
207,20,41,0.21633333333333335,600.0,0.0,0.0,237.0,0,0,
208,30,41,0.4404166666666667,600.0,13.0,0.2166666666666666,189.0,0,0,
209,40,41,0.49635416666666665,600.0,29.0,0.3625,130.0,0,0,
210,5,42,0.12283333333333334,600.0,0.0,0.0,110.0,0,0,
211,10,42,0.12958333333333333,600.0,0.0,0.0,127.0,0,0,
212,20,42,0.24279166666666668,600.0,1.0,0.025,286.0,0,0,
213,30,42,0.41580555555555554,600.0,12.0,0.2,206.0,0,0,
214,40,42,0.5351041666666667,600.0,32.0,0.4,199.0,0,0,
215,5,43,0.12866666666666668,600.0,0.0,0.0,160.0,0,0,
216,10,43,0.15841666666666665,600.0,0.0,0.0,171.0,0,0,
217,20,43,0.24366666666666664,600.0,1.0,0.025,270.0,0,0,
218,30,43,0.36980555555555555,600.0,10.0,0.1666666666666666,203.0,0,0,
219,40,43,0.4921041666666666,600.0,30.0,0.375,158.0,0,0,
220,5,44,0.0775,600.0,0.0,0.0,82.0,0,0,
221,10,44,0.14133333333333334,600.0,0.0,0.0,153.0,0,0,
222,20,44,0.2500833333333334,600.0,3.0,0.075,340.0,0,0,
223,30,44,0.41013888888888883,600.0,10.0,0.1666666666666666,234.0,0,0,
224,40,44,0.4709166666666667,600.0,26.0,0.325,149.0,0,0,
