RunId,seed,radius_profile,event_index,event_step,event_time_s,event_types,next_event_step,coverage_threshold,threshold_reached,time_to_90_percent_nominal_service_after_event_s
54,53,rd10_rp10_nominal,1,600,600.0,set_priorities,900.0,0.9,True,131.0
54,53,rd10_rp10_nominal,2,900,900.0,reconfigure + set_priorities,1200.0,0.9,True,232.0
54,53,rd10_rp10_nominal,3,1200,1200.0,add_points + set_priorities,1500.0,0.9,True,0.0
54,53,rd10_rp10_nominal,4,1500,1500.0,remove_points + set_priorities,,0.9,True,175.0
55,54,rd10_rp10_nominal,1,600,600.0,set_priorities,900.0,0.9,True,210.0
55,54,rd10_rp10_nominal,2,900,900.0,reconfigure + set_priorities,1200.0,0.9,True,234.0
55,54,rd10_rp10_nominal,3,1200,1200.0,add_points + set_priorities,1500.0,0.9,True,0.0
55,54,rd10_rp10_nominal,4,1500,1500.0,remove_points + set_priorities,,0.9,True,15.0
56,55,rd10_rp10_nominal,1,600,600.0,set_priorities,900.0,0.9,True,273.0
56,55,rd10_rp10_nominal,2,900,900.0,reconfigure + set_priorities,1200.0,0.9,True,224.0
56,55,rd10_rp10_nominal,3,1200,1200.0,add_points + set_priorities,1500.0,0.9,True,0.0
56,55,rd10_rp10_nominal,4,1500,1500.0,remove_points + set_priorities,,0.9,True,18.0
57,56,rd10_rp10_nominal,1,600,600.0,set_priorities,900.0,0.9,True,47.0
57,56,rd10_rp10_nominal,2,900,900.0,reconfigure + set_priorities,1200.0,0.9,True,184.0
57,56,rd10_rp10_nominal,3,1200,1200.0,add_points + set_priorities,1500.0,0.9,True,0.0
57,56,rd10_rp10_nominal,4,1500,1500.0,remove_points + set_priorities,,0.9,True,53.0
58,57,rd10_rp10_nominal,1,600,600.0,set_priorities,900.0,0.9,True,296.0
58,57,rd10_rp10_nominal,2,900,900.0,reconfigure + set_priorities,1200.0,0.9,True,109.0
58,57,rd10_rp10_nominal,3,1200,1200.0,add_points + set_priorities,1500.0,0.9,True,0.0
58,57,rd10_rp10_nominal,4,1500,1500.0,remove_points + set_priorities,,0.9,True,97.0
59,58,rd10_rp10_nominal,1,600,600.0,set_priorities,900.0,0.9,True,111.0
59,58,rd10_rp10_nominal,2,900,900.0,reconfigure + set_priorities,1200.0,0.9,True,202.0
59,58,rd10_rp10_nominal,3,1200,1200.0,add_points + set_priorities,1500.0,0.9,True,0.0
59,58,rd10_rp10_nominal,4,1500,1500.0,remove_points + set_priorities,,0.9,True,100.0
60,59,rd10_rp10_nominal,1,600,600.0,set_priorities,900.0,0.9,True,83.0
60,59,rd10_rp10_nominal,2,900,900.0,reconfigure + set_priorities,1200.0,0.9,True,196.0
60,59,rd10_rp10_nominal,3,1200,1200.0,add_points + set_priorities,1500.0,0.9,True,0.0
