Step,simulated_time_s,replications,residual_deficit_mean,residual_deficit_std,normalized_deficit_mean,normalized_deficit_std,capacity_adjusted_coverage_mean,capacity_adjusted_coverage_std,normalized_unavoidable_deficit_mean,normalized_unavoidable_deficit_std,r_delta_mean,r_delta_std,covered_points_mean,covered_points_std,underserved_points_mean,underserved_points_std,exactly_satisfied_points_mean,exactly_satisfied_points_std,overserved_points_mean,overserved_points_std,idle_drones_mean,idle_drones_std,exploring_drones_mean,exploring_drones_std,stationing_drones_mean,stationing_drones_std,active_points_mean,active_points_std,total_demand_mean,total_demand_std,mean_demand_per_point_mean,mean_demand_per_point_std,fleet_load_mean,fleet_load_std,overlapping_zones_mean,overlapping_zones_std
51.0,51.0,100,6.96,1.901195795951973,0.696,0.19011957959519724,0.30400000000000005,0.19011957959519726,0.0,0.0,0.009,0.032082595426382345,1.62,1.0227710428344197,3.58,0.933982458252419,1.39,0.9089343299499784,0.03,0.1714466079977653,17.0,1.912214856276788,15.78,2.3595068822261838,3.0,1.912214856276788,5.0,0.0,10.0,0.0,2.0,0.0,0.5,0.0,0.63,0.7608474807008886
52.0,52.0,100,6.86,1.9489442881682995,0.6859999999999999,0.19489442881682995,0.314,0.19489442881682995,0.0,0.0,0.01,0.03333333333333333,1.68,1.052942006326497,3.54,0.9472981248655239,1.44,0.9568466729604883,0.02,0.1407052941362897,16.91,1.9284944669588528,15.71,2.3454016907363844,3.09,1.9284944669588526,5.0,0.0,10.0,0.0,2.0,0.0,0.5,0.0,0.63,0.7608474807008886
53.0,53.0,100,6.75,1.9917760208346011,0.675,0.1991776020834601,0.325,0.19917760208346008,0.0,0.0,0.011,0.031446603773522,1.74,1.0695038026292305,3.49,0.9795381306998463,1.47,0.9893881386437219,0.04,0.19694638556693236,16.78,1.9724363235615616,15.7,2.2630095274240722,3.22,1.9724363235615616,5.0,0.0,10.0,0.0,2.0,0.0,0.5,0.0,0.63,0.7608474807008886
54.0,54.0,100,6.6,2.0250950844368023,0.66,0.2025095084436803,0.34,0.2025095084436803,0.0,0.0,0.015,0.03859920970562726,1.81,1.0702119114238708,3.41,1.0059921480907301,1.54,0.9890307468333925,0.05,0.21904291355759034,16.62,2.0089697847303722,15.61,2.2603074788598785,3.38,2.0089697847303714,5.0,0.0,10.0,0.0,2.0,0.0,0.5,0.0,0.63,0.7608474807008886
55.0,55.0,100,6.54,2.017198777783417,0.654,0.20171987777834163,0.34600000000000003,0.20171987777834163,0.0,0.0,0.006,0.027779797906341427,1.85,1.0671873729054748,3.39,1.0139930069688936,1.57,1.017572869849892,0.04,0.19694638556693242,16.56,2.0066555924389875,15.59,2.2297121252789927,3.44,2.0066555924389884,5.0,0.0,10.0,0.0,2.0,0.0,0.5,0.0,0.63,0.7608474807008886
56.0,56.0,100,6.5,2.012586656644889,0.65,0.20125866566448886,0.35,0.20125866566448886,0.0,0.0,0.004,0.019694638556693237,1.87,1.069834311725631,3.37,1.011599393699568,1.58,1.046205264059331,0.05,0.21904291355759034,16.52,1.9872319716356488,15.48,2.2087063721517715,3.48,1.9872319716356488,5.0,0.0,10.0,0.0,2.0,0.0,0.5,0.0,0.63,0.7608474807008886
57.0,57.0,100,6.44,1.9965627028126682,0.644,0.1996562702812668,0.35600000000000004,0.1996562702812668,0.0,0.0,0.006000000000000001,0.023868325657594208,1.91,1.0550025132815102,3.35,1.0087996667707457,1.61,1.0139930069688932,0.04,0.19694638556693236,16.48,1.9923084423083006,15.47,2.157697051408414,3.52,1.9923084423083006,5.0,0.0,10.0,0.0,2.0,0.0,0.5,0.0,0.63,0.7608474807008886
58.0,58.0,100,6.35,2.0219752318917847,0.635,0.2021975231891785,0.365,0.20219752318917847,0.0,0.0,0.009000000000000001,0.03509007169147894,1.97,1.0679443105822748,3.32,1.0335776837194333,1.63,1.0215357818184119,0.05,0.21904291355759034,16.39,2.019575913078502,15.38,2.130964594030154,3.61,2.0195759130785027,5.0,0.0,10.0,0.0,2.0,0.0,0.5,0.0,0.63,0.7608474807008886
59.0,59.0,100,6.29,2.036510185924376,0.629,0.2036510185924376,0.371,0.2036510185924376,0.0,0.0,0.006000000000000001,0.027779797906341424,1.99,1.0683225783035437,3.28,1.0355304111049721,1.69,1.0415121097459572,0.03,0.1714466079977653,16.34,1.9909898051070989,15.38,2.140423822847742,3.66,1.990989805107099,5.0,0.0,10.0,0.0,2.0,0.0,0.5,0.0,0.63,0.7608474807008886
60.0,60.0,100,6.21,2.0464060637561103,0.621,0.2046406063756111,0.379,0.20464060637561107,0.0,0.0,0.008,0.027265992434429072,2.0,1.0540925533894598,3.21,1.0376254944182253,1.76,1.055241845993303,0.03,0.17144660799776532,16.27,1.9992675426442323,15.35,2.0761999086326104,3.73,1.9992675426442323,5.0,0.0,10.0,0.0,2.0,0.0,0.5,0.0,0.63,0.7608474807008886
61.0,61.0,100,6.15,1.9917760208346011,0.615,0.1991776020834601,0.385,0.19917760208346008,0.0,0.0,0.006,0.023868325657594204,2.05,1.0087996667707455,3.2,1.0347497623614468,1.77,1.043062700886096,0.03,0.17144660799776532,16.2,1.9694638556693236,15.32,2.0640256830286825,3.8,1.9694638556693236,5.0,0.0,10.0,0.0,2.0,0.0,0.5,0.0,0.63,0.7608474807008886
