RunId,cohere,seed,J_delta,final_time_s,final_residual_deficit,final_normalized_deficit,time_to_90_percent_nominal_service_s,event_episodes,event_episodes_reaching_90_percent_nominal_service,mean_time_to_90_percent_nominal_service_after_event_s
131,0.25,26,0.3828888888888889,600.0,8.0,0.2666666666666666,119.0,0,0,
132,0.35,26,0.31855555555555554,600.0,5.0,0.1666666666666666,125.0,0,0,
133,0.45,26,0.30316666666666664,600.0,5.0,0.1666666666666666,125.0,0,0,
134,0.6,26,0.2952222222222222,600.0,5.0,0.1666666666666666,122.0,0,0,
135,0.15,27,0.4038333333333333,600.0,10.0,0.3333333333333333,146.0,0,0,
136,0.25,27,0.41938888888888887,600.0,10.0,0.3333333333333333,156.0,0,0,
137,0.35,27,0.45122222222222214,600.0,10.0,0.3333333333333333,287.0,0,0,
138,0.45,27,0.42127777777777775,600.0,10.0,0.3333333333333333,156.0,0,0,
139,0.6,27,0.414,600.0,10.0,0.3333333333333333,169.0,0,0,
140,0.15,28,0.39944444444444444,600.0,7.0,0.2333333333333333,167.0,0,0,
141,0.25,28,0.42238888888888887,600.0,9.0,0.3,159.0,0,0,
142,0.35,28,0.39977777777777773,600.0,8.0,0.2666666666666666,183.0,0,0,
143,0.45,28,0.4041111111111111,600.0,8.0,0.2666666666666666,175.0,0,0,
144,0.6,28,0.46777777777777774,600.0,8.0,0.2666666666666666,362.0,0,0,
145,0.15,29,0.46027777777777773,600.0,11.0,0.3666666666666666,343.0,0,0,
146,0.25,29,0.5183333333333333,600.0,13.0,0.4333333333333333,,0,0,
147,0.35,29,0.4378888888888888,600.0,11.0,0.3666666666666666,156.0,0,0,
148,0.45,29,0.4298888888888888,600.0,10.0,0.3333333333333333,149.0,0,0,
149,0.6,29,0.4517777777777778,600.0,10.0,0.3333333333333333,247.0,0,0,
150,0.15,30,0.4071111111111111,600.0,10.0,0.3333333333333333,115.0,0,0,
151,0.25,30,0.39994444444444444,600.0,10.0,0.3333333333333333,103.0,0,0,
152,0.35,30,0.3998888888888889,600.0,10.0,0.3333333333333333,103.0,0,0,
153,0.45,30,0.3998888888888889,600.0,10.0,0.3333333333333333,103.0,0,0,
154,0.6,30,0.3998333333333333,600.0,10.0,0.3333333333333333,103.0,0,0,
155,0.15,31,0.5141111111111112,600.0,12.0,0.4,220.0,0,0,
156,0.25,31,0.5343333333333333,600.0,10.0,0.3333333333333333,419.0,0,0,
157,0.35,31,0.5675555555555555,600.0,12.0,0.4,506.0,0,0,
158,0.45,31,0.510888888888889,600.0,10.0,0.3333333333333333,287.0,0,0,
159,0.6,31,0.5259999999999999,600.0,11.0,0.3666666666666666,293.0,0,0,
160,0.15,32,0.44,600.0,10.0,0.3333333333333333,152.0,0,0,
161,0.25,32,0.43122222222222223,600.0,10.0,0.3333333333333333,151.0,0,0,
162,0.35,32,0.4352777777777778,600.0,10.0,0.3333333333333333,160.0,0,0,
163,0.45,32,0.4235,600.0,10.0,0.3333333333333333,146.0,0,0,
164,0.6,32,0.42227777777777775,600.0,10.0,0.3333333333333333,141.0,0,0,
165,0.15,33,0.45433333333333337,600.0,10.0,0.3333333333333333,197.0,0,0,
166,0.25,33,0.4592222222222222,600.0,10.0,0.3333333333333333,214.0,0,0,
167,0.35,33,0.4935555555555555,600.0,11.0,0.3666666666666666,379.0,0,0,
168,0.45,33,0.44911111111111107,600.0,10.0,0.3333333333333333,205.0,0,0,
169,0.6,33,0.4414444444444445,600.0,10.0,0.3333333333333333,166.0,0,0,
170,0.15,34,0.5506666666666666,600.0,13.0,0.4333333333333333,,0,0,
171,0.25,34,0.46627777777777774,600.0,10.0,0.3333333333333333,231.0,0,0,
172,0.35,34,0.4648333333333333,600.0,11.0,0.3666666666666666,210.0,0,0,
173,0.45,34,0.46077777777777773,600.0,10.0,0.3333333333333333,218.0,0,0,
174,0.6,34,0.4549444444444444,600.0,10.0,0.3333333333333333,199.0,0,0,
175,0.15,35,0.4476111111111111,600.0,11.0,0.3666666666666666,119.0,0,0,
176,0.25,35,0.4216666666666667,600.0,10.0,0.3333333333333333,117.0,0,0,
177,0.35,35,0.4378888888888888,600.0,11.0,0.3666666666666666,117.0,0,0,
178,0.45,35,0.43849999999999995,600.0,11.0,0.3666666666666666,120.0,0,0,
179,0.6,35,0.45733333333333337,600.0,12.0,0.4,119.0,0,0,
180,0.15,36,0.4388888888888889,600.0,10.0,0.3333333333333333,195.0,0,0,
181,0.25,36,0.42311111111111105,600.0,10.0,0.3333333333333333,123.0,0,0,
182,0.35,36,0.4507777777777777,600.0,11.0,0.3666666666666666,128.0,0,0,
183,0.45,36,0.4454444444444444,600.0,10.0,0.3333333333333333,162.0,0,0,
184,0.6,36,0.4277777777777778,600.0,10.0,0.3333333333333333,122.0,0,0,
185,0.15,37,0.4244444444444444,600.0,10.0,0.3333333333333333,200.0,0,0,
186,0.25,37,0.44949999999999996,600.0,10.0,0.3333333333333333,275.0,0,0,
187,0.35,37,0.43649999999999994,600.0,10.0,0.3333333333333333,206.0,0,0,
188,0.45,37,0.4325,600.0,10.0,0.3333333333333333,250.0,0,0,
189,0.6,37,0.4275,600.0,10.0,0.3333333333333333,198.0,0,0,
190,0.15,38,0.45933333333333326,600.0,10.0,0.3333333333333333,138.0,0,0,
191,0.25,38,0.45877777777777773,600.0,10.0,0.3333333333333333,137.0,0,0,
192,0.35,38,0.45916666666666667,600.0,10.0,0.3333333333333333,137.0,0,0,
193,0.45,38,0.45916666666666667,600.0,10.0,0.3333333333333333,137.0,0,0,
194,0.6,38,0.4591111111111111,600.0,10.0,0.3333333333333333,137.0,0,0,
195,0.15,39,0.37549999999999994,600.0,8.0,0.2666666666666666,106.0,0,0,
196,0.25,39,0.3252222222222222,600.0,7.0,0.2333333333333333,86.0,0,0,
197,0.35,39,0.34294444444444444,600.0,7.0,0.2333333333333333,86.0,0,0,
198,0.45,39,0.3489444444444444,600.0,7.0,0.2333333333333333,86.0,0,0,
199,0.6,39,0.33627777777777773,600.0,7.0,0.2333333333333333,86.0,0,0,
200,0.15,40,0.4877777777777777,600.0,8.0,0.2666666666666666,312.0,0,0,
201,0.25,40,0.4774444444444444,600.0,9.0,0.3,246.0,0,0,
202,0.35,40,0.5287777777777778,600.0,11.0,0.3666666666666666,345.0,0,0,
203,0.45,40,0.46688888888888885,600.0,8.0,0.2666666666666666,295.0,0,0,
204,0.6,40,0.5201666666666666,600.0,8.0,0.2666666666666666,399.0,0,0,
205,0.15,41,0.45844444444444443,600.0,10.0,0.3333333333333333,231.0,0,0,
206,0.25,41,0.47061111111111115,600.0,10.0,0.3333333333333333,256.0,0,0,
207,0.35,41,0.46655555555555556,600.0,10.0,0.3333333333333333,213.0,0,0,
208,0.45,41,0.4947222222222222,600.0,12.0,0.4,220.0,0,0,
209,0.6,41,0.4684999999999999,600.0,10.0,0.3333333333333333,274.0,0,0,
