RunId,seed,radius_profile,event_index,event_step,event_time_s,event_types,next_event_step,coverage_threshold,threshold_reached,time_to_90_percent_nominal_service_after_event_s
56,55,rd10_rp10_nominal,2,750,750.0,reconfigure + set_priorities,900.0,0.9,False,
56,55,rd10_rp10_nominal,3,900,900.0,add_points + set_priorities,1050.0,0.9,True,23.0
56,55,rd10_rp10_nominal,4,1050,1050.0,remove_points + set_priorities,,0.9,True,133.0
57,56,rd10_rp10_nominal,1,600,600.0,set_priorities,750.0,0.9,True,47.0
57,56,rd10_rp10_nominal,2,750,750.0,reconfigure + set_priorities,900.0,0.9,False,
57,56,rd10_rp10_nominal,3,900,900.0,add_points + set_priorities,1050.0,0.9,True,111.0
57,56,rd10_rp10_nominal,4,1050,1050.0,remove_points + set_priorities,,0.9,False,
58,57,rd10_rp10_nominal,1,600,600.0,set_priorities,750.0,0.9,False,
58,57,rd10_rp10_nominal,2,750,750.0,reconfigure + set_priorities,900.0,0.9,False,
58,57,rd10_rp10_nominal,3,900,900.0,add_points + set_priorities,1050.0,0.9,True,0.0
58,57,rd10_rp10_nominal,4,1050,1050.0,remove_points + set_priorities,,0.9,False,
59,58,rd10_rp10_nominal,1,600,600.0,set_priorities,750.0,0.9,True,111.0
59,58,rd10_rp10_nominal,2,750,750.0,reconfigure + set_priorities,900.0,0.9,False,
59,58,rd10_rp10_nominal,3,900,900.0,add_points + set_priorities,1050.0,0.9,True,10.0
59,58,rd10_rp10_nominal,4,1050,1050.0,remove_points + set_priorities,,0.9,False,
60,59,rd10_rp10_nominal,1,600,600.0,set_priorities,750.0,0.9,True,83.0
60,59,rd10_rp10_nominal,2,750,750.0,reconfigure + set_priorities,900.0,0.9,False,
60,59,rd10_rp10_nominal,3,900,900.0,add_points + set_priorities,1050.0,0.9,True,24.0
60,59,rd10_rp10_nominal,4,1050,1050.0,remove_points + set_priorities,,0.9,True,60.0
61,60,rd10_rp10_nominal,1,600,600.0,set_priorities,750.0,0.9,False,
61,60,rd10_rp10_nominal,2,750,750.0,reconfigure + set_priorities,900.0,0.9,False,
61,60,rd10_rp10_nominal,3,900,900.0,add_points + set_priorities,1050.0,0.9,True,60.0
61,60,rd10_rp10_nominal,4,1050,1050.0,remove_points + set_priorities,,0.9,False,
62,61,rd10_rp10_nominal,1,600,600.0,set_priorities,750.0,0.9,False,
62,61,rd10_rp10_nominal,2,750,750.0,reconfigure + set_priorities,900.0,0.9,False,
62,61,rd10_rp10_nominal,3,900,900.0,add_points + set_priorities,1050.0,0.9,False,
62,61,rd10_rp10_nominal,4,1050,1050.0,remove_points + set_priorities,,0.9,False,
63,62,rd10_rp10_nominal,1,600,600.0,set_priorities,750.0,0.9,True,80.0
63,62,rd10_rp10_nominal,2,750,750.0,reconfigure + set_priorities,900.0,0.9,False,
63,62,rd10_rp10_nominal,3,900,900.0,add_points + set_priorities,1050.0,0.9,True,2.0
63,62,rd10_rp10_nominal,4,1050,1050.0,remove_points + set_priorities,,0.9,False,
64,63,rd10_rp10_nominal,1,600,600.0,set_priorities,750.0,0.9,True,137.0
64,63,rd10_rp10_nominal,2,750,750.0,reconfigure + set_priorities,900.0,0.9,False,
64,63,rd10_rp10_nominal,3,900,900.0,add_points + set_priorities,1050.0,0.9,False,
64,63,rd10_rp10_nominal,4,1050,1050.0,remove_points + set_priorities,,0.9,False,
65,64,rd10_rp10_nominal,1,600,600.0,set_priorities,750.0,0.9,True,19.0
65,64,rd10_rp10_nominal,2,750,750.0,reconfigure + set_priorities,900.0,0.9,False,
65,64,rd10_rp10_nominal,3,900,900.0,add_points + set_priorities,1050.0,0.9,True,9.0
65,64,rd10_rp10_nominal,4,1050,1050.0,remove_points + set_priorities,,0.9,False,
66,65,rd10_rp10_nominal,1,600,600.0,set_priorities,750.0,0.9,False,
66,65,rd10_rp10_nominal,2,750,750.0,reconfigure + set_priorities,900.0,0.9,False,
66,65,rd10_rp10_nominal,3,900,900.0,add_points + set_priorities,1050.0,0.9,True,0.0
66,65,rd10_rp10_nominal,4,1050,1050.0,remove_points + set_priorities,,0.9,True,64.0
67,66,rd10_rp10_nominal,1,600,600.0,set_priorities,750.0,0.9,False,
67,66,rd10_rp10_nominal,2,750,750.0,reconfigure + set_priorities,900.0,0.9,False,
67,66,rd10_rp10_nominal,3,900,900.0,add_points + set_priorities,1050.0,0.9,True,8.0
67,66,rd10_rp10_nominal,4,1050,1050.0,remove_points + set_priorities,,0.9,False,
68,67,rd10_rp10_nominal,1,600,600.0,set_priorities,750.0,0.9,False,
68,67,rd10_rp10_nominal,2,750,750.0,reconfigure + set_priorities,900.0,0.9,False,
68,67,rd10_rp10_nominal,3,900,900.0,add_points + set_priorities,1050.0,0.9,True,65.0
68,67,rd10_rp10_nominal,4,1050,1050.0,remove_points + set_priorities,,0.9,False,
69,68,rd10_rp10_nominal,1,600,600.0,set_priorities,750.0,0.9,True,133.0
69,68,rd10_rp10_nominal,2,750,750.0,reconfigure + set_priorities,900.0,0.9,False,
69,68,rd10_rp10_nominal,3,900,900.0,add_points + set_priorities,1050.0,0.9,True,0.0
69,68,rd10_rp10_nominal,4,1050,1050.0,remove_points + set_priorities,,0.9,True,62.0
70,69,rd10_rp10_nominal,1,600,600.0,set_priorities,750.0,0.9,True,122.0
70,69,rd10_rp10_nominal,2,750,750.0,reconfigure + set_priorities,900.0,0.9,False,
70,69,rd10_rp10_nominal,3,900,900.0,add_points + set_priorities,1050.0,0.9,True,0.0
70,69,rd10_rp10_nominal,4,1050,1050.0,remove_points + set_priorities,,0.9,True,94.0
71,70,rd10_rp10_nominal,1,600,600.0,set_priorities,750.0,0.9,True,87.0
71,70,rd10_rp10_nominal,2,750,750.0,reconfigure + set_priorities,900.0,0.9,False,
71,70,rd10_rp10_nominal,3,900,900.0,add_points + set_priorities,1050.0,0.9,True,25.0
71,70,rd10_rp10_nominal,4,1050,1050.0,remove_points + set_priorities,,0.9,False,
72,71,rd10_rp10_nominal,1,600,600.0,set_priorities,750.0,0.9,True,94.0
72,71,rd10_rp10_nominal,2,750,750.0,reconfigure + set_priorities,900.0,0.9,False,
72,71,rd10_rp10_nominal,3,900,900.0,add_points + set_priorities,1050.0,0.9,True,84.0
72,71,rd10_rp10_nominal,4,1050,1050.0,remove_points + set_priorities,,0.9,False,
73,72,rd10_rp10_nominal,1,600,600.0,set_priorities,750.0,0.9,False,
73,72,rd10_rp10_nominal,2,750,750.0,reconfigure + set_priorities,900.0,0.9,False,
73,72,rd10_rp10_nominal,3,900,900.0,add_points + set_priorities,1050.0,0.9,True,65.0
73,72,rd10_rp10_nominal,4,1050,1050.0,remove_points + set_priorities,,0.9,True,48.0
74,73,rd10_rp10_nominal,1,600,600.0,set_priorities,750.0,0.9,False,
74,73,rd10_rp10_nominal,2,750,750.0,reconfigure + set_priorities,900.0,0.9,False,
74,73,rd10_rp10_nominal,3,900,900.0,add_points + set_priorities,1050.0,0.9,True,0.0
