RunId,radius_profile,seed,J_delta,final_time_s,final_residual_deficit,final_normalized_deficit,mean_excess_service_units,final_excess_service_units,J_delta_dynamic,time_to_90_percent_nominal_service_s,event_episodes,event_episodes_reaching_90_percent_nominal_service,mean_time_to_90_percent_nominal_service_after_event_s
164,rd25_rp25_potenziato,63,0.22370833333333331,1200.0,1.0,0.05,0.01,0.0,0.20733333333333331,411.0,4,3,45.0
165,rd25_rp25_potenziato,64,0.25708333333333333,1200.0,0.0,0.0,0.44583333333333336,0.0,0.17533333333333334,706.0,4,4,41.75
166,rd25_rp25_potenziato,65,0.196375,1200.0,2.0,0.1,0.024166666666666666,0.0,0.19399999999999998,253.0,4,4,30.25
167,rd25_rp25_potenziato,66,0.18879166666666666,1200.0,2.0,0.1,0.39416666666666667,0.0,0.23099999999999998,204.0,4,3,46.333333333333336
168,rd25_rp25_potenziato,67,0.2715138888888889,1200.0,2.0,0.1,0.25833333333333336,0.0,0.2534444444444444,474.0,4,3,41.333333333333336
169,rd25_rp25_potenziato,68,0.24912499999999999,1200.0,1.0,0.05,0.0175,0.0,0.16924999999999998,517.0,4,4,28.25
170,rd25_rp25_potenziato,69,0.2197777777777778,1200.0,0.0,0.0,0.7491666666666666,0.0,0.1746388888888889,286.0,4,4,44.25
171,rd25_rp25_potenziato,70,0.20258333333333334,1200.0,2.0,0.1,0.22166666666666668,0.0,0.22158333333333333,271.0,4,4,49.0
172,rd25_rp25_potenziato,71,0.378,1200.0,1.0,0.05,0.1275,0.0,0.2853333333333333,877.0,4,3,47.0
173,rd25_rp25_potenziato,72,0.3047916666666667,1200.0,1.0,0.05,0.016666666666666666,0.0,0.19924999999999998,809.0,4,3,27.0
174,rd25_rp25_potenziato,73,0.19747222222222222,1200.0,1.0,0.05,0.016666666666666666,0.0,0.2088611111111111,204.0,4,4,54.25
175,rd25_rp25_potenziato,74,0.2431111111111111,1200.0,0.0,0.0,0.013333333333333334,0.0,0.20005555555555554,432.0,4,3,37.666666666666664
176,rd25_rp25_potenziato,75,0.29693055555555553,1200.0,0.0,0.0,0.02,0.0,0.18344444444444444,644.0,4,4,39.25
177,rd25_rp25_potenziato,76,0.2197361111111111,1200.0,1.0,0.05,0.01,0.0,0.19238888888888886,533.0,4,4,48.0
178,rd25_rp25_potenziato,77,0.22268055555555552,1200.0,1.0,0.05,0.3491666666666667,0.0,0.18119444444444444,353.0,4,4,47.25
179,rd25_rp25_potenziato,78,0.20316666666666666,1200.0,1.0,0.05,0.425,0.0,0.16349999999999998,283.0,4,4,44.75
180,rd25_rp25_potenziato,79,0.2195138888888889,1200.0,1.0,0.05,0.9966666666666667,0.0,0.18119444444444444,294.0,4,4,29.25
181,rd25_rp25_potenziato,80,0.17954166666666665,1200.0,0.0,0.0,1.0575,0.0,0.19483333333333333,150.0,4,3,20.0
182,rd25_rp25_potenziato,81,0.3150694444444444,1200.0,1.0,0.05,0.315,0.0,0.2374722222222222,749.0,4,4,58.75
183,rd25_rp25_potenziato,82,0.19276388888888887,1200.0,1.0,0.05,0.020833333333333332,0.0,0.2013611111111111,189.0,4,4,34.0
184,rd25_rp25_potenziato,83,0.22722222222222224,1200.0,1.0,0.05,0.2758333333333333,0.0,0.2221111111111111,319.0,4,3,28.0
185,rd25_rp25_potenziato,84,0.147625,1200.0,1.0,0.05,0.6241666666666666,0.0,0.17225,139.0,4,4,26.75
186,rd25_rp25_potenziato,85,0.19333333333333333,1200.0,2.0,0.1,0.2975,0.0,0.1994166666666667,290.0,4,4,35.5
187,rd25_rp25_potenziato,86,0.18891666666666665,1200.0,2.0,0.1,0.27166666666666667,0.0,0.20058333333333334,191.0,4,4,34.5
188,rd25_rp25_potenziato,87,0.22879166666666667,1200.0,1.0,0.05,0.021666666666666667,0.0,0.19466666666666665,431.0,4,4,45.0
189,rd25_rp25_potenziato,88,0.31481944444444443,1200.0,1.0,0.05,0.028333333333333332,0.0,0.2346388888888889,859.0,4,3,42.666666666666664
