point_sensing_radius,drone_sensing_radius,Step,simulated_time_s,replications,residual_deficit_mean,residual_deficit_std,normalized_deficit_mean,normalized_deficit_std,capacity_adjusted_coverage_mean,capacity_adjusted_coverage_std,normalized_unavoidable_deficit_mean,normalized_unavoidable_deficit_std,r_delta_mean,r_delta_std,covered_points_mean,covered_points_std,underserved_points_mean,underserved_points_std,exactly_satisfied_points_mean,exactly_satisfied_points_std,overserved_points_mean,overserved_points_std,excess_service_units_mean,excess_service_units_std,idle_drones_mean,idle_drones_std,exploring_drones_mean,exploring_drones_std,stationing_drones_mean,stationing_drones_std,active_points_mean,active_points_std,total_demand_mean,total_demand_std,mean_demand_per_point_mean,mean_demand_per_point_std,fleet_load_mean,fleet_load_std,overlapping_zones_mean,overlapping_zones_std
10.0,10.0,37.0,37.0,100,24.59,2.4704107538887725,0.8196666666666667,0.08234702512962573,0.2705,0.12352053769443862,0.33333333333333326,0.0,0.002666666666666667,0.009088664144809694,2.99,1.3521027395068093,12.58,1.2323911224882624,2.27,1.2379112417391813,0.15,0.3859920970562726,0.17,0.4507009131689364,14.9,2.2630095274240722,12.55,2.5756238824483635,5.1,2.263009527424072,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
10.0,10.0,38.0,38.0,100,24.49,2.4349932072167935,0.8163333333333334,0.08116644024055972,0.2755,0.12174966036083962,0.33333333333333326,0.0,0.0033333333333333335,0.011111111111111117,3.05,1.3512059708858508,12.54,1.2095578956917705,2.38,1.237299111334479,0.08,0.2726599243442907,0.08,0.2726599243442907,14.89,2.1550738814118264,12.5,2.5761140573281374,5.11,2.1550738814118264,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
10.0,10.0,39.0,39.0,100,24.3,2.480224818744291,0.81,0.08267416062480974,0.285,0.12401124093721455,0.33333333333333326,0.0,0.006333333333333333,0.014751971087077969,3.14,1.4000000000000001,12.44,1.200336653113651,2.48,1.1847516041923574,0.08,0.27265992434429076,0.09,0.32082595426382343,14.71,2.203280382621432,12.39,2.597181844876007,5.29,2.203280382621432,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
10.0,10.0,40.0,40.0,100,24.16,2.4359263892280016,0.8053333333333333,0.08119754630760007,0.292,0.12179631946140014,0.33333333333333326,0.0,0.004666666666666665,0.012552918289216956,3.23,1.3622248586986527,12.39,1.1967548714010832,2.48,1.114459600891931,0.13,0.4416452253228886,0.16,0.5264710031632486,14.54,2.235706563568627,12.43,2.523645751445293,5.46,2.2357065635686273,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
10.0,10.0,41.0,41.0,100,24.01,2.4349932072167917,0.8003333333333333,0.08116644024055975,0.2995,0.12174966036083962,0.33333333333333326,0.0,0.005000000000000001,0.01371098177828104,3.33,1.378441514936709,12.34,1.1825328064725467,2.53,1.0773611607567217,0.13,0.4181488788081164,0.14,0.4499158170416355,14.43,2.234960962757628,12.33,2.502745966680871,5.57,2.2349609627576283,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
10.0,10.0,42.0,42.0,100,23.82,2.4551738813939,0.794,0.08183912937979669,0.309,0.122758694069695,0.33333333333333326,0.0,0.006333333333333335,0.020485137367715817,3.42,1.3720146655281213,12.24,1.1986524420229898,2.6,1.145919418253881,0.16,0.48658778937379515,0.22,0.6901910144037203,14.23,2.2012622641465414,12.22,2.4270362688894966,5.77,2.2012622641465405,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
10.0,10.0,43.0,43.0,100,23.65,2.4178419294816607,0.7883333333333333,0.08059473098272199,0.3175,0.12089209647408303,0.33333333333333326,0.0,0.005666666666666666,0.01425674471685022,3.58,1.3572104486851706,12.23,1.196417210430434,2.64,1.1592404340077103,0.13,0.4639531498465393,0.19,0.6465916857498308,14.08,2.2050447211388304,12.01,2.443275661810586,5.92,2.2050447211388304,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
10.0,10.0,44.0,44.0,100,23.44,2.383953087464668,0.7813333333333334,0.07946510291548894,0.32799999999999996,0.11919765437323339,0.33333333333333326,0.0,0.007000000000000001,0.015922793521720786,3.71,1.3728610544215591,12.15,1.1666666666666667,2.7,1.1055415967851332,0.15,0.4578165130223675,0.16,0.48658778937379504,13.92,2.120987001041227,11.91,2.441621418548574,6.08,2.1209870010412275,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
10.0,10.0,45.0,45.0,100,23.31,2.385541464910656,0.777,0.07951804883035524,0.3345,0.11927707324553284,0.33333333333333326,0.0,0.004333333333333338,0.01126658896632105,3.78,1.3749563813099854,12.09,1.1899834478095086,2.77,1.1178532817843134,0.14,0.42687494916218993,0.17,0.5135536717202729,13.78,2.1769221159678396,11.78,2.468304124804165,6.22,2.17692211596784,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
10.0,10.0,46.0,46.0,100,23.13,2.294723856100681,0.7709999999999999,0.07649079520335604,0.3435,0.11473619280503398,0.33333333333333326,0.0,0.005999999999999997,0.015264227232212992,3.9,1.3065491598369756,12.03,1.1930353445448856,2.85,1.1315047637120357,0.12,0.40898988651643614,0.12,0.40898988651643614,13.67,2.0550750189064466,11.67,2.506778688663879,6.33,2.0550750189064466,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
