RunId,point_sensing_radius,drone_sensing_radius,seed,J_delta,final_time_s,final_residual_deficit,final_normalized_deficit,mean_excess_service_units,final_excess_service_units,time_to_90_percent_nominal_service_s,event_episodes,event_episodes_reaching_90_percent_nominal_service,mean_time_to_90_percent_nominal_service_after_event_s
290,10.0,25.0,72,0.5114444444444445,600.0,9.0,0.3,0.008333333333333333,0.0,451.0,0,0,
291,25.0,25.0,72,0.5550555555555555,600.0,13.0,0.4333333333333333,0.028333333333333332,0.0,,0,0,
292,10.0,10.0,73,0.3978333333333333,600.0,8.0,0.2666666666666666,0.021666666666666667,0.0,185.0,0,0,
293,25.0,10.0,73,0.7460555555555556,600.0,22.0,0.7333333333333333,0.03,0.0,,0,0,
294,10.0,25.0,73,0.3882777777777777,600.0,7.0,0.2333333333333333,0.023333333333333334,0.0,165.0,0,0,
295,25.0,25.0,73,0.37383333333333335,600.0,6.0,0.2,0.68,1.0,247.0,0,0,
296,10.0,10.0,74,0.4131111111111111,600.0,9.0,0.3,0.008333333333333333,0.0,136.0,0,0,
297,25.0,10.0,74,0.747,600.0,22.0,0.7333333333333333,0.011666666666666667,0.0,,0,0,
298,10.0,25.0,74,0.4056111111111111,600.0,8.0,0.2666666666666666,0.013333333333333334,0.0,165.0,0,0,
299,25.0,25.0,74,0.3737222222222222,600.0,6.0,0.2,0.055,0.0,178.0,0,0,
300,10.0,10.0,75,0.4018333333333333,600.0,8.0,0.2666666666666666,0.005,0.0,186.0,0,0,
301,25.0,10.0,75,0.657,600.0,19.0,0.6333333333333333,0.028333333333333332,0.0,,0,0,
302,10.0,25.0,75,0.4601666666666666,600.0,10.0,0.3333333333333333,0.006666666666666667,0.0,242.0,0,0,
303,25.0,25.0,75,0.3821111111111111,600.0,6.0,0.2,0.61,1.0,237.0,0,0,
304,10.0,10.0,76,0.4293888888888889,600.0,9.0,0.3,0.01,0.0,257.0,0,0,
305,25.0,10.0,76,0.6270555555555556,600.0,18.0,0.6,0.01,0.0,,0,0,
306,10.0,25.0,76,0.4848333333333333,600.0,10.0,0.3333333333333333,0.016666666666666666,0.0,347.0,0,0,
307,25.0,25.0,76,0.37316666666666665,600.0,8.0,0.2666666666666666,0.023333333333333334,0.0,99.0,0,0,
308,10.0,10.0,77,0.33149999999999996,600.0,6.0,0.2,0.016666666666666666,0.0,116.0,0,0,
309,25.0,10.0,77,0.5962222222222222,600.0,17.0,0.5666666666666667,0.03833333333333333,0.0,,0,0,
310,10.0,25.0,77,0.37177777777777776,600.0,6.0,0.2,0.021666666666666667,0.0,170.0,0,0,
311,25.0,25.0,77,0.3257777777777778,600.0,6.0,0.2,0.08166666666666667,0.0,95.0,0,0,
312,10.0,10.0,78,0.4041111111111111,600.0,6.0,0.2,0.8216666666666667,1.0,173.0,0,0,
313,25.0,10.0,78,0.6094999999999999,600.0,17.0,0.5666666666666667,0.02,0.0,,0,0,
314,10.0,25.0,78,0.5647777777777778,600.0,12.0,0.4,0.01,0.0,535.0,0,0,
315,25.0,25.0,78,0.3125,600.0,6.0,0.2,2.5516666666666667,3.0,107.0,0,0,
316,10.0,10.0,79,0.39866666666666667,600.0,6.0,0.2,0.021666666666666667,0.0,183.0,0,0,
317,25.0,10.0,79,0.6160555555555556,600.0,18.0,0.6,1.8966666666666667,2.0,,0,0,
318,10.0,25.0,79,0.5534444444444444,600.0,15.0,0.5,0.018333333333333333,0.0,,0,0,
